id,grid_id,score,data_source,borough,zip,latitude,longitude,lat_lon,address,status,cb_num,cncldist,category,assemblydist,coundist,gardenname,juris,geometry,openhrsf,openhrsm,openhrssa,openhrssu,openhrsth,openhrstu,openhrsw,statesenatedist,censustract,crossstreets
230920,1856,8.32,df_gardens,Manhattan,10003.0,40.724153,-73.991883,-3013.2567640500993,110 E Houston Street,Active,103.0,10.0,Garden,66.0,2.0,Liz Christy Garden,DPR,POINT (-73.991883 40.724153),CLOSED,CL)OSED,12:00 p.m. - 4:00 p.m.,12:00 p.m. - 4:00 p.m.,6:00 p.m. - 8:00 p.m.,6:00 p.m. - 8:00 p.m.,CLOSED,27.0,36.02,The Bowery & 2nd Avenue
230921,2391,5.74,df_gardens,Manhattan,10029.0,40.788767,-73.949172,-3016.295546550924,1574 Lexington Avenue,Active,111.0,13.0,Garden,68.0,8.0,Maggie's Magic Garden,DPR,POINT (-73.949172 40.788767),CLOSED,CLOSED,9:00 a.m. - 6:00 p.m.,9:00 a.m. - 6:00 p.m.,CLOSED,CLOSED,CLOSED,29.0,166.0,E. 101 St & E. 100th St.
230922,2568,8.33,df_gardens,Manhattan,10027.0,40.81142,-73.951571,-3018.06862374082,325 West 126th Street,Active,110.0,13.0,Garden,70.0,9.0,William B. Washington Memorial Garden,DPR,POINT (-73.951571 40.81142),8:00 a.m. - 10:00 a.m.,CLOSED,10:00 a.m. - 4:00 p.m.,12:00 p.m. - 4:00 p.m.,3:00 p.m. - 7:00 p.m.,CLOSED,10:00 a.m. - 2:00 p.m.,30.0,215.0,Street Nicholas & Frederick Douglass Avenues
230923,1857,19.11,df_gardens,Manhattan,10009.0,40.722552,-73.981377,-3012.710471914104,272 East 4th Street,Active,103.0,10.0,Garden,65.0,2.0,Garden of the Humanitarians,DPR,POINT (-73.981377 40.722552),9:00a - 5:00p,9:00a - 5:00p,9:00a - 5:00p,9:00a - 5:00p,9:00a - 5:00p,9:00a - 5:00p,9:00a - 5:00p,27.0,26.01,Avenues B & C
230924,2451,9.85,df_gardens,Manhattan,10029.0,40.795119,-73.943785,-3016.5455083854154,156 East 111th Street,Inactive (Group Forming),111.0,13.0,Garden,68.0,8.0,Family Community Garden Manhattan,DPR,POINT (-73.943785 40.795119),1:00 p.m.- 2:30 p.m.,9:30 a.m. - 1:00 p.m.,1:00 p.m.- 2:30 p.m.,8:00 a.m. - 2:30 p.m.,8:00 a.m. - 9:30 a.m.,9:30 a.m. - 1:00 p.m.,8:00 a.m. - 9:30 a.m.,29.0,172.0,3rd & Lexington Avenues
230925,2451,9.85,df_gardens,Manhattan,10035.0,40.798836,-73.940611,-3016.6908619287965,170 East 117th Street,Active,111.0,13.0,Garden,68.0,8.0,Corozal Family,DPR,POINT (-73.940611 40.798836),,,,,,,,30.0,182.0,Lexington & 3rd Avenues
230926,2687,10.54,df_gardens,Manhattan,10031.0,40.82632,-73.942552,-3018.8022895686404,333 Edgecombe Avenue,Active,109.0,13.0,Garden,71.0,9.0,Sugar Hill Garden,DPR,POINT (-73.942552 40.82632),,,11:00 a.m. - 6:00 p.m.,11:00 a.m. - 6:00 p.m.,10:00 a.m. - 1:00 p.m.,10:00 a.m. - 1:00 p.m.,,30.0,231.0,145 & 150th Street
230927,2686,7.99,df_gardens,Manhattan,10031.0,40.824229,-73.949831,-3018.9448352552995,506 West 143rd Street,Active,109.0,13.0,Garden,71.0,7.0,Frank White Memorial Garden,DPR/PRI,POINT (-73.949831 40.824229),11:00 a.m. - 7:00 p.m.,11:00 a.m. - 7:00 p.m.,11:00 a.m. - 7:00 p.m.,11:00 a.m. - 7:00 p.m.,11:00 a.m. - 7:00 p.m.,11:00 a.m. - 7:00 p.m.,11:00 a.m. - 7:00 p.m.,30.0,229.0,Hamilton Pl. & Broadway
230928,2569,14.32,df_gardens,Manhattan,10027.0,40.809756,-73.942906,-3017.5919517909356,52 W 129th Street,Active,110.0,13.0,Garden,70.0,9.0,Edward P. Bowman Park,DPR,POINT (-73.942906 40.809756),9:00 a.m.- 3:00 p.m.,9:00 a.m.- 3:00 p.m.,9:00 a.m.- 3:00 p.m.,9:00 a.m.- 3:00 p.m.,9:00 a.m.- 3:00 p.m.,9:00 a.m.- 3:00 p.m.,9:00 a.m.- 3:00 p.m.,30.0,208.0,5th Ave & Lenox
230929,1857,19.11,df_gardens,Manhattan,10009.0,40.724649,-73.982589,-3012.9149691362613,530 East 6th Street,Active,103.0,10.0,Garden,74.0,2.0,Creative Little Garden,DPR,POINT (-73.982589 40.724649),1:00 p.m. - 2:00 p.m.,1:00 p.m. - 2:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 4:00 p.m.,1:00 p.m. - 2:00 p.m.,1:00 p.m. - 2:00 p.m.,1:00 p.m. - 2:00 p.m.,27.0,32.0,Avenues A & B
