id,grid_id,score,data_source,latitude,longitude,lat_lon,address,created date,category,coundist,geometry,borocode,borough_df_benches_std_0,borough_df_benches_std_1,borocd,assemdist,stsendist,congdist,siteid,benchid,type,benchtype,geocodeadd,street,crossstree,borough_df_benches_std_2,borough_df_benches_std_3,comdist,busroute,bid
230777,915,8.68,df_benches,40.607093,-73.962682,-3003.4095065034257,943 Kings highway,09/26/2018,Bench,44.0,POINT (-73.962682 40.607093),3.0,Brooklyn,Brooklyn,315.0,45.0,17.0,11.0,4175.0,575.0,Bus Route,backless 2,943 Kings highway,Kings highway,Coney Island Avenue & East 9th Street,Brooklyn,Brooklyn,315.0,B82,Not Applicable
230778,2450,8.56,df_benches,40.798511,-73.949251,-3017.019330365261,20 West 112th Street,12/08/2014,Bench,9.0,POINT (-73.949251 40.798511),1.0,Manhattan,Manhattan,110.0,68.0,30.0,13.0,2796.0,1840.0,Municipal Facilities,backed,20 West 112th Street,West 112th Street,5th Avenue & Lenox Avenue,Manhattan,Manhattan,110.0,Not Applicable,Not Applicable
230779,2043,5.1,df_benches,40.7491,-73.890536,-3010.9728405175997,75-23 37th Avenue,12/12/2012,Bench,25.0,POINT (-73.890536 40.7491),4.0,Queens,Queens,403.0,39.0,13.0,14.0,1219.0,658.0,General,backed,35-88 76th Street,76th Street,37th and 35th Avenues,Queens,Queens,403.0,Not Applicable,Not Applicable
230780,1915,1.2699999999999996,df_benches,40.735656,-73.993859,-3014.188386336504,65 5th Avenue,02/04/2015,Bench,2.0,POINT (-73.993859 40.735656),1.0,Manhattan,Manhattan,102.0,66.0,28.0,12.0,3061.0,1595.0,General,backed,65 5th Avenue,5th Avenue,East 13th Street & East 14th Street,Manhattan,Manhattan,102.0,Not Applicable,Not Applicable
230781,2233,8.3,df_benches,40.7650294566,-73.7717266899,-3007.306611578018,39-19 Bell Blvd,01/28/2013,Bench,19.0,POINT (-73.7717266899 40.7650294566),4.0,Queens,Queens,411.0,26.0,11.0,6.0,1509.0,361.0,BID,backed,39-19 Bell Blvd,Bell Blvd,39th and 40th Avenues,Queens,Queens,411.0,Not Applicable,Bell Blvd BBA
230782,1273,8.21,df_benches,40.651983,-73.92926,-3005.37102072258,5101 Church Avenue,06/29/2017,Bench,41.0,POINT (-73.92926 40.651983),3.0,Brooklyn,Brooklyn,317.0,58.0,20.0,9.0,3706.0,145.0,Senior Safety,backed,5101 Church Avenue,Church Avenue,E. 51st Street & E. 52nd Street,Brooklyn,Brooklyn,317.0,Not Applicable,Not Applicable
230783,1623,3.28,df_benches,40.697817,-73.964178,-3010.180580799426,290 Flushing Avenue,02/01/2018,Bench,33.0,POINT (-73.964178 40.697817),3.0,Brooklyn,Brooklyn,302.0,50.0,25.0,8.0,3987.0,434.0,Bus Route,backless 2,290 Flushing Avenue,Flushing Avenue,Navy Street & N Elliot Place,Brooklyn,Brooklyn,302.0,B57,Not Applicable
230784,1470,8.56,df_benches,40.674831,-73.736713,-2999.2283397705028,233-15 Merrick Boulevard,07/11/2016,Bench,31.0,POINT (-73.736713 40.674831),4.0,Queens,Queens,413.0,29.0,14.0,5.0,3326.0,9890.0,Municipal Facilities,backed,233-15 Merrick Boulevard,Merrick Boulevard,233rd Street & 234th Street,Queens,Queens,413.0,Not Applicable,Not Applicable
230785,1393,4.200000000000001,df_benches,40.66552,-73.90968,-3005.5755702336,592 Rockaway Avenue,09/16/2013,Bench,41.0,POINT (-73.90968 40.66552),3.0,Brooklyn,Brooklyn,316.0,55.0,20.0,9.0,2172.0,1014.0,Community Health Centers,backless,592 Rockaway Avenue,Rockaway Avenue,Dumont and Blake Avenues,Brooklyn,Brooklyn,316.0,B60,Not Applicable
230786,2098,3.81,df_benches,40.753417,-73.93231,-3012.99425920327,38-27 31st Street,05/01/2018,Bench,26.0,POINT (-73.93231 40.753417),4.0,Queens,Queens,401.0,37.0,12.0,12.0,4134.0,0.0,Other,backless,38-27 31st Street,31st Street,39th Avenue & 40th Avenue,Queens,Queens,401.0,Q102,Not Applicable
