id,grid_id,score,data_source,latitude,longitude,lat_lon,address,created date,category,coundist,geometry,borocode,borough_df_benches_std_0,borough_df_benches_std_1,borocd,assemdist,stsendist,congdist,siteid,benchid,type,benchtype,geocodeadd,street,crossstree,borough_df_benches_std_2,borough_df_benches_std_3,comdist,busroute,bid
228669,1930,7.73,df_benches,40.7320249016,-73.8491200502,-3008.024196845994,64-51 108th Street,06/11/2013,Bench,29.0,POINT (-73.8491200502 40.7320249016),4.0,Queens,Queens,406.0,27.0,16.0,6.0,1387.0,523.0,General,backed,64-51 108th Street,108th Street,64th Road & 65th Avenue,Queens,Queens,406.0,Not Applicable,Not Applicable
228670,1012,5.04,df_benches,40.627509,-74.16732,-3013.2334608058804,2324 Forest Avenue,05/01/2013,Bench,49.0,POINT (-74.16732 40.627509),5.0,Staten Island,Staten Island,501.0,63.0,23.0,11.0,1901.0,538.0,General,backed,2324 Forest Avenue,Forest Avenue,South Avenue & Lilac Street,Staten Island,Staten Island,501.0,S40,Not Applicable
228671,2040,4.279999999999999,df_benches,40.744813,-73.924051,-3012.0216341974633,43-45 40th Street,07/25/2014,Bench,26.0,POINT (-73.924051 40.744813),4.0,Queens,Queens,402.0,37.0,12.0,14.0,2515.0,1191.0,BID,backed,43-45 40th Street,40th Street,Queens Boulevard & 43rd Avenue,Queens,Queens,402.0,Not Applicable,Sunnyside Shines
228672,2392,4.380000000000001,df_benches,40.787105,-73.945002,-3016.0025607992097,1952 2nd Avenue,07/05/2017,Bench,8.0,POINT (-73.945002 40.787105),1.0,Manhattan,Manhattan,111.0,68.0,29.0,13.0,3824.0,179.0,General,backed 2,1952 2nd Avenue,2nd Avenue,E 101st Street & E 100th Street,Manhattan,Manhattan,111.0,Not Applicable,Not Applicable
228673,2330,3.1500000000000004,df_benches,40.779265,-73.973743,-3016.5948688388953,170 Central Park West,12/15/2014,Bench,6.0,POINT (-73.973743 40.779265),1.0,Manhattan,Manhattan,107.0,67.0,29.0,10.0,3030.0,696.0,Municipal Facilities,backless,170 Central Park West,Central Park West,W. 77th Street & W. 76th Street,Manhattan,Manhattan,107.0,M10,Not Applicable
228674,2343,3.42,df_benches,40.778601,-73.843187,-3011.221859241387,125-10 23rd Avenue,11/24/2014,Bench,19.0,POINT (-73.843187 40.778601),4.0,Queens,Queens,407.0,27.0,11.0,14.0,2839.0,1704.0,Municipal Facilities,backed,125-10 23rd Avenue,23rd Avenue,125th Street and 126th Street,Queens,Queens,407.0,Not Applicable,Not Applicable
228675,2105,5.900000000000001,df_benches,40.7495340664,-73.8625749635,-3009.8655147071668,103-12 Roosevelt Avenue,06/01/2018,Bench,21.0,POINT (-73.8625749635 40.7495340664),4.0,Queens,Queens,404.0,39.0,13.0,14.0,1342.0,389.0,Plaza,backed 2,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,Queens,404.0,Q20A,Not Applicable
228676,1452,4.779999999999999,df_benches,40.670168,-73.907561,-3005.832922340248,1777 Pitkin Avenue,02/21/2013,Bench,37.0,POINT (-73.907561 40.670168),3.0,Brooklyn,Brooklyn,316.0,55.0,19.0,8.0,1720.0,468.0,BID,backed,1777 Pitkin Avenue,Pitkin Avenue,Watkin Street & Mother Gaston Blvd,Brooklyn,Brooklyn,316.0,Not Applicable,Pitkin Avenue
228677,2627,3.46,df_benches,40.821836,-73.950107,-3018.779140136452,1616 Amsterdam Avenue,07/19/2013,Bench,7.0,POINT (-73.950107 40.821836),1.0,Manhattan,Manhattan,109.0,70.0,31.0,13.0,1983.0,748.0,General,backed,1616 Amsterdam Avenue,Amsterdam Avenue,West 139th & 140th Street,Manhattan,Manhattan,109.0,Not Applicable,Not Applicable
228678,1628,6.710000000000001,df_benches,40.694817,-73.919402,-3008.136537139434,331 Central Avenue,05/05/2016,Bench,37.0,POINT (-73.919402 40.694817),3.0,Brooklyn,Brooklyn,304.0,53.0,18.0,7.0,3213.0,2077.0,Municipal Facilities,backed,331 Central Avenue,Central Avenue,Menahan Street & Grove Street,Brooklyn,Brooklyn,304.0,Not Applicable,Not Applicable
228679,1445,16.92,df_benches,40.676967,-73.969125,-3008.839656643875,646A Vanderbilt Avenue,07/26/2012,Bench,35.0,POINT (-73.969125 40.676967),3.0,Brooklyn,Brooklyn,308.0,52.0,20.0,9.0,874.0,173.0,General,backed,646 Vanderbuilt Avenue,Vanderbilt Avenue,Prospect and Park Places,Brooklyn,Brooklyn,308.0,Not Applicable,Not Applicable
228680,1561,8.05,df_benches,40.69056,-73.991962,-3010.77436927872,106 Court Street,06/19/2012,Bench,33.0,POINT (-73.991962 40.69056),3.0,Brooklyn,Brooklyn,302.0,52.0,26.0,7.0,987.0,542.0,BID,backed 2,106 Court Street,Court Street,Livingston and Schermerhorn Streets,Brooklyn,Brooklyn,302.0,Not Applicable,Court-Livingston-Schermerhorn
228681,2035,3.5599999999999996,df_benches,40.743704,-73.973291,-3013.945872409864,403 East 34th Street,04/26/2018,Bench,4.0,POINT (-73.973291 40.743704),1.0,Manhattan,Manhattan,106.0,74.0,27.0,12.0,3994.0,523.0,Municipal Facilities,backed 2,403 East 34th Street,East 34th Street,1st Avenue & FDR Drive,Manhattan,Manhattan,106.0,Not Applicable,Not Applicable
228682,2154,10.41,df_benches,40.760933,-73.957748,-3014.586811058884,500 E 63rd Street,02/02/2018,Bench,5.0,POINT (-73.957748 40.760933),1.0,Manhattan,Manhattan,108.0,76.0,28.0,12.0,3961.0,0.0,Senior Safety,backed 2,1157 York Avenue,York Avenue,E 62ndStreet & E 63rd Street,Manhattan,Manhattan,108.0,Not Applicable,Not Applicable
228683,2569,14.32,df_benches,40.814997,-73.940918,-3017.898346347246,104 West 136th Street,06/26/2014,Bench,9.0,POINT (-73.940918 40.814997),1.0,Manhattan,Manhattan,110.0,70.0,30.0,13.0,2558.0,1396.0,Municipal Facilities,backed,104 West 136th Street,West 136th Street,Malcolm X Boulevard and Adam Clayton Powell Boulevard,Manhattan,Manhattan,110.0,Not Applicable,Not Applicable
228684,1153,1.8200000000000005,df_benches,40.640066,-73.947253,-3005.221242438698,3109 Newkirk Avenue,10/14/2014,Bench,45.0,POINT (-73.947253 40.640066),3.0,Brooklyn,Brooklyn,317.0,42.0,21.0,9.0,2736.0,1532.0,Municipal Facilities,backed,434 East 32nd Street,East 32nd Street,East 31st Street & East 32nd Street,Brooklyn,Brooklyn,317.0,Not Applicable,Not Applicable
228685,2987,5.23,df_benches,40.8610077055,-73.8900622547,-3019.222403149171,401 E. Fordham Road,02/07/2013,Bench,15.0,POINT (-73.8900622547 40.8610077055),2.0,Bronx,Bronx,206.0,78.0,34.0,15.0,1694.0,931.0,BID,backed,401 E. Fordham Road,East Fordham Road,Third Avenue & Webster Avenue,Bronx,Bronx,206.0,Not Applicable,Fordham Road
228686,1456,8.35,df_benches,40.6758799199,-73.8710906876,-3004.771614360861,404 Pine Street,06/06/2019,Bench,42.0,POINT (-73.8710906876 40.6758799199),3.0,Brooklyn,Brooklyn,305.0,54.0,19.0,8.0,4213.0,2306.0,General,backed,404 Pine Street,Pine Street,Pitkin Avenue & Glenmore Avenue,Brooklyn,Brooklyn,305.0,Not Applicable,Not Applicable
228687,2043,5.1,df_benches,40.74909,-73.89064,-3010.9763395176005,75-07 37th Avenue,02/07/2019,Bench,25.0,POINT (-73.89064 40.74909),4.0,Queens,Queens,403.0,39.0,13.0,14.0,4106.0,0.0,General,backed 2,75-07 37th Avenue,37th Avenue,75th Street & 76th Street,Queens,Queens,403.0,Not Applicable,Not Applicable
228688,2572,4.18,df_benches,40.8116866753,-73.9144414423,-3016.5730249229573,Saint Mary's Park,06/29/2017,Bench,8.0,POINT (-73.9144414423 40.8116866753),2.0,Bronx,Bronx,201.0,84.0,29.0,15.0,3818.0,112.0,Bus Route,backless 2,450 St Ann's Avenue,St Ann's Avenue,E 143rd Street & E 144th Street,Bronx,Bronx,201.0,BX17,Not Applicable
228689,2924,1.3499999999999996,df_benches,40.852965,-73.931078,-3020.30374194627,1539 St. Nicholas Avenue,03/25/2017,Bench,10.0,POINT (-73.931078 40.852965),1.0,Manhattan,Manhattan,112.0,72.0,31.0,13.0,3631.0,51.0,Bus Route,backless 2,1539 St. Nicholas Avenue,St. Nicholas Avenue,W. 187th Street & W. 186th Street,Manhattan,Manhattan,112.0,M3,Not Applicable
228690,1012,5.04,df_benches,40.626958394,-74.164303149,-3013.0700583544262,2239 Forrest Avenue,06/07/2017,Bench,49.0,POINT (-74.164303149 40.626958394),5.0,Staten Island,Staten Island,501.0,63.0,23.0,11.0,3663.0,113.0,Bus Route,backless 2,2239 Forrest Avenue,Forrest Avenue,Grandview Avenue & Samuel Place,Staten Island,Staten Island,501.0,S48,Not Applicable
228691,2231,9.98,df_benches,40.765133,-73.790083,-3008.062547576039,34-65 192nd Street,01/30/2015,Bench,19.0,POINT (-73.790083 40.765133),4.0,Queens,Queens,411.0,26.0,11.0,6.0,2980.0,2051.0,Municipal Facilities,backed,34-65 192nd Street,Francis Lewis Boulevard,34th Avenue and 35th Avenue,Queens,Queens,411.0,Q28,Not Applicable
228692,3107,1.58,df_benches,40.878685,-73.872039,-3019.791812588715,380 E. Gun Hill Road,10/25/2013,Bench,11.0,POINT (-73.872039 40.878685),2.0,Bronx,Bronx,207.0,80.0,36.0,13.0,2090.0,1068.0,General,backed,380 E. Gun Hill Road,Webster Avenue,E Gun Hill Road and E205th Street,Bronx,Bronx,207.0,BX41,Jerome-Gun Hill
228693,2923,3.81,df_benches,40.855469,-73.936747,-3020.7204750193428,620 Fort Washington Avenue,03/25/2017,Bench,10.0,POINT (-73.936747 40.855469),1.0,Manhattan,Manhattan,112.0,71.0,31.0,13.0,3668.0,48.0,General,backed 2,620 Fort Washington Avenue,Fort Washington Avenue,W. 187th Street & W 190th Street,Manhattan,Manhattan,112.0,Not Applicable,Not Applicable
228694,2222,12.0,df_benches,40.763818,-73.880046,-3011.6327489756277,89-01 Astoria Boulevard,07/13/2016,Bench,22.0,POINT (-73.880046 40.763818),4.0,Queens,Queens,403.0,34.0,13.0,14.0,3352.0,2162.0,General,backed,89-01 Astoria Boulevard,Astoria Boulevard,89th Street & 25th Avenue,Queens,Queens,403.0,Not Applicable,Not Applicable
228695,1214,7.36,df_benches,40.646877,-73.920977,-3004.656859838829,5909 Beverly Road,01/12/2015,Bench,45.0,POINT (-73.920977 40.646877),3.0,Brooklyn,Brooklyn,317.0,58.0,21.0,9.0,2964.0,1268.0,Municipal Facilities,backless,5909 Beverly Road,Beverly Road,Ralph Avenue & East 59th Street,Brooklyn,Brooklyn,317.0,B8,Not Applicable
228696,1583,7.74,df_benches,40.686798,-73.781247,-3001.922692877106,166-01 116th Avenue,12/11/2014,Bench,27.0,POINT (-73.781247 40.686798),4.0,Queens,Queens,412.0,32.0,14.0,5.0,2843.0,1541.0,Municipal Facilities,backed,166-01 116th Avenue,166th Street,166th Street and 167th Street,Queens,Queens,412.0,Not Applicable,Not Applicable
228697,1854,5.22,df_benches,40.722726,-74.006534,-3013.7478062916844,431 Canal Street,07/03/2012,Bench,1.0,POINT (-74.006534 40.722726),1.0,Manhattan,Manhattan,102.0,66.0,26.0,10.0,980.0,892.0,BID,backed,431 Canal Street,Canal Street,Varick Street & Hudson Street,Manhattan,Manhattan,102.0,Not Applicable,Hudson Square Connection
228698,2572,4.18,df_benches,40.813728,-73.908886,-3016.4971699870075,564 Jackson Avenue,08/14/2014,Bench,8.0,POINT (-73.908886 40.813728),2.0,Bronx,Bronx,201.0,84.0,29.0,15.0,3384.0,1909.0,Municipal Facilities,backed,564 Jackson Avenue,Concord Avenue,E 149th Street & E 150t Street,Bronx,Bronx,201.0,Not Applicable,Not Applicable
228699,2987,5.23,df_benches,40.861914,-73.893416,-3019.426409758224,331 East Fordham Road,10/16/2012,Bench,15.0,POINT (-73.893416 40.861914),2.0,Bronx,Bronx,205.0,78.0,33.0,15.0,1209.0,645.0,BID,backless,331 E Fordham Road,Bainbridge Avenue,Bainbridge Avenue and East Kingsbridge Road,Bronx,Bronx,207.0,BX22,Fordham Road
228700,1743,5.6,df_benches,40.712972,-73.945453,-3010.539157516316,211 Ainslie Street,03/26/2014,Bench,34.0,POINT (-73.945453 40.712972),3.0,Brooklyn,Brooklyn,301.0,53.0,18.0,12.0,2408.0,1090.0,Senior Center,backed,211 Ainslie Street,Ainslie Street,Manhattan Avenue & Graham Avenue,Brooklyn,Brooklyn,301.0,Not Applicable,Not Applicable
228701,1915,1.2699999999999996,df_benches,40.734704,-73.989926,-3013.957734591904,10 Union Square East,10/28/2015,Bench,2.0,POINT (-73.989926 40.734704),1.0,Manhattan,Manhattan,105.0,74.0,27.0,12.0,3168.0,1815.0,AAR,backed,10 Union Square East,Union Square East,E 14th Street & E 15th Street,Manhattan,Manhattan,105.0,Not Applicable,Union Square Partnership
228702,1936,13.68,df_benches,40.727594,-73.786074,-3005.129264725956,182-10 & 182-08 Union Turnpike,04/17/2013,Bench,24.0,POINT (-73.786074 40.727594),4.0,Queens,Queens,408.0,24.0,11.0,5.0,740.0,569.0,Bus Route,backless,182-10 Union Turnpike,Union Turnpike,Kent Street & 183rd Street,Queens,Queens,408.0,Q46,Not Applicable
228703,2628,10.580000000000002,df_benches,40.819097,-73.944665,-3018.354453267505,2611 Frederick Douglas Boulevard,05/16/2014,Bench,9.0,POINT (-73.944665 40.819097),1.0,Manhattan,Manhattan,110.0,70.0,30.0,13.0,2475.0,1193.0,Health Care Facilities,backed,2611 Frederick Douglas Boulevard,Federick Douglass Boulevard,W. 139th Street and W. 140th Street,Manhattan,Manhattan,110.0,Not Applicable,Not Applicable
228704,2689,4.5600000000000005,df_benches,40.826956,-73.91771,-3017.8350937907603,917 Morris Avenue,07/14/2014,Bench,16.0,POINT (-73.91771 40.826956),2.0,Bronx,Bronx,204.0,79.0,32.0,15.0,2585.0,1236.0,Municipal Facilities,backless,917 Morris Avenue,Morris Avenue,E. 162nd Street and E. 163rd Street,Bronx,Bronx,204.0,BX32,Not Applicable
228705,1513,7.489999999999999,df_benches,40.67789,-73.889758,-3005.67944805062,135 Schenck Avenue,10/21/2014,Bench,37.0,POINT (-73.889758 40.67789),3.0,Brooklyn,Brooklyn,305.0,55.0,18.0,7.0,2739.0,1536.0,Municipal Facilities,backed,135 Schenck Avenue,Schenck Avenue,Fulton Street & Atlantic Avenue,Brooklyn,Brooklyn,305.0,Not Applicable,Not Applicable
228706,1451,7.01,df_benches,40.670654,-73.914575,-3006.1541053820497,1440 East New York Avenue,05/20/2017,Bench,41.0,POINT (-73.914575 40.670654),3.0,Brooklyn,Brooklyn,316.0,55.0,20.0,9.0,3701.0,2207.0,Bus Route,backed,1440 East New York Avenue,East New York Avenue,Thomas S Boyland Street & Amboy Street,Brooklyn,Brooklyn,316.0,B7,Not Applicable
228707,1677,-1.3900000000000006,df_benches,40.706452,-74.005594,-3012.505159892488,160 Water Street,07/10/2012,Bench,1.0,POINT (-74.005594 40.706452),1.0,Manhattan,Manhattan,101.0,65.0,26.0,10.0,1013.0,150.0,BID,backless,160 Water Street,Water Street,Fletcher and John Streets,Manhattan,Manhattan,101.0,M15,Alliance for Downtown New York
228708,1736,-3.88,df_benches,40.713684,-74.010713,-3013.248781696692,30 West Broadway,03/11/2013,Bench,1.0,POINT (-74.010713 40.713684),1.0,Manhattan,Manhattan,101.0,66.0,26.0,10.0,1839.0,490.0,General,backed,30 West Broadway,"Park Place, Greenwich Street & West Broadway",Greenwich Street &West Broadway,Manhattan,Manhattan,101.0,Not Applicable,Not Applicable
228709,2097,6.42,df_benches,40.750092,-73.939662,-3013.048028948904,27-10 Queens Plaza South,01/23/2017,Bench,26.0,POINT (-73.939662 40.750092),4.0,Queens,Queens,402.0,37.0,12.0,12.0,3585.0,77.0,General,backless 2,27-10 Queens Plaza South,Queens Plaza South,27th Street & 28th Street,Queens,Queens,402.0,Q100,Long Island City
228710,1389,7.56,df_benches,40.665771,-73.942546,-3006.9306427929655,378 Kingston Avenue,06/21/2013,Bench,35.0,POINT (-73.942546 40.665771),3.0,Brooklyn,Brooklyn,309.0,43.0,20.0,9.0,2057.0,881.0,General,backed,378 Kingston Avenue,Crown Street,Crown Street and Brooklyn Avenues,Brooklyn,Brooklyn,309.0,Not Applicable,Not Applicable
228711,3104,7.38,df_benches,40.873239,-73.899722,-3020.520999339558,2865 Claflin Avenue,04/04/2019,Bench,14.0,POINT (-73.899722 40.873239),2.0,Bronx,Bronx,208.0,81.0,33.0,13.0,4149.0,492.0,General,backed 2,2865 Claflin Avenue,Claflin Avenue,W 179 Street & Reservoir Avenue,Bronx,Bronx,208.0,Not Applicable,Not Applicable
228712,2990,3.9,df_benches,40.861282,-73.861719,-3018.084529063758,2401 Bronxwood Avenue,05/26/2017,Bench,13.0,POINT (-73.861719 40.861282),2.0,Bronx,Bronx,211.0,80.0,34.0,14.0,3572.0,2316.0,Municipal Facilities,backed,2401 Bronxwood Avenue,Bronxwood Avenue,Waring Avenue & Mace Avenue,Bronx,Bronx,211.0,Not Applicable,Not Applicable
228713,1389,7.56,df_benches,40.668626,-73.942259,-3007.1300768661345,311 Kingston Avenue,07/27/2012,Bench,35.0,POINT (-73.942259 40.668626),3.0,Brooklyn,Brooklyn,309.0,43.0,20.0,9.0,880.0,97.0,General,backed,311 Kingston Avenue,Kingston Avenue,Eastern Parkway North and South,Brooklyn,Brooklyn,309.0,Not Applicable,Not Applicable
228714,2158,4.08,df_benches,40.757309,-73.926733,-3013.054700241497,33-09 35th Avenue,11/06/2014,Bench,26.0,POINT (-73.926733 40.757309),4.0,Queens,Queens,401.0,36.0,12.0,12.0,2748.0,1557.0,Municipal Facilities,backed,33-09 35th Avenue,35th Avenue,33rd Street & 34th Street,Queens,Queens,401.0,Not Applicable,Not Applicable
228715,2749,8.93,df_benches,40.832144,-73.914748,-3018.097634059712,1150 Morris Avenue,09/18/2015,Bench,16.0,POINT (-73.914748 40.832144),2.0,Bronx,Bronx,204.0,77.0,32.0,15.0,3217.0,1988.0,General,backed,270 E. 167th Street,East 167th Street and College,E. 167th Street and E. 166th Street,Bronx,Bronx,204.0,BX32,Not Applicable
228716,2040,4.279999999999999,df_benches,40.743256,-73.919473,-3011.720011824088,45-03 Queens Boulevard,07/25/2014,Bench,26.0,POINT (-73.919473 40.743256),4.0,Queens,Queens,402.0,37.0,12.0,14.0,2514.0,1294.0,BID,backed,45-03 Queens Boulevard,Queens Boulevard,45th Street & 46th Street,Queens,Queens,402.0,Not Applicable,Sunnyside Shines
228717,1987,4.17,df_benches,40.736495,-73.865766,-3009.0324073301695,57-10 Junction Blvd,02/14/2018,Bench,25.0,POINT (-73.865766 40.736495),4.0,Queens,Queens,404.0,35.0,16.0,6.0,3969.0,508.0,Senior Safety,backless 2,57-10 Junction Blvd,Junction Blvd,57th Street & 58th Street,Queens,Queens,404.0,Q72,Not Applicable
228718,1626,3.8400000000000007,df_benches,40.697976,-73.936997,-3009.086129418072,893 Broadway,04/14/2012,Bench,34.0,POINT (-73.936997 40.697976),3.0,Brooklyn,Brooklyn,304.0,53.0,18.0,7.0,95.0,13.0,Bus Route,backless,893 Broadway,Broadway,Arion Place and Belvedere Street,Brooklyn,Brooklyn,304.0,B46,Not Applicable
228719,1562,5.460000000000001,df_benches,40.689269,-73.985973,-3010.4351576237373,45 Hoyt Street,05/01/2013,Bench,33.0,POINT (-73.985973 40.689269),3.0,Brooklyn,Brooklyn,302.0,52.0,25.0,8.0,1891.0,0.0,Other,backed,45 Hoyt Street,Schermerhorn Street,Schermerhorn Street & Livingston Street,Brooklyn,Brooklyn,302.0,Not Applicable,Court-Livingston-Schermerhorn
228720,2103,14.18,df_benches,40.755875,-73.882443,-3011.1436116026252,85-01 Northern Boulevard,09/30/2013,Bench,25.0,POINT (-73.882443 40.755875),4.0,Queens,Queens,403.0,34.0,13.0,14.0,1998.0,955.0,General,backed,85-01 Northern Boulevard,Northern Boulevard,85th & 86th Street,Queens,Queens,403.0,Not Applicable,Not Applicable
228721,1211,0.5499999999999998,df_benches,40.648044,-73.951891,-3005.999719251204,2707 Albemarle Road,07/24/2014,Bench,40.0,POINT (-73.951891 40.648044),3.0,Brooklyn,Brooklyn,317.0,42.0,21.0,9.0,2634.0,1181.0,Municipal Facilities,backed,2707 Albemarle Road,Albemarle Road,East 28th Street & Rogers Avenue,Brooklyn,Brooklyn,317.0,Not Applicable,Not Applicable
228722,1736,-3.88,df_benches,40.707514,-74.0138,-3012.9177996932003,80 Greenwich Street,07/10/2012,Bench,1.0,POINT (-74.0138 40.707514),1.0,Manhattan,Manhattan,101.0,65.0,26.0,10.0,1018.0,175.0,BID,backed,80 Greenwich Street,Greenwich Street,Rector and Edgar Streets,Manhattan,Manhattan,101.0,Not Applicable,Alliance for Downtown New York
228723,1563,12.98,df_benches,40.68681887,-73.975700924,-3009.83594427608,650 Fulton Street,05/16/2018,Bench,35.0,POINT (-73.975700924 40.68681887),3.0,Brooklyn,Brooklyn,302.0,57.0,25.0,8.0,1062.0,285.0,Plaza,backless 2,650 Fulton Street,Plaza,Fulton Street and Lafayette Avenue,Brooklyn,Brooklyn,302.0,Not Applicable,Not Applicable
228724,2864,2.1500000000000004,df_benches,40.847858,-73.9379,-3020.2048400182,4180 Broadway,08/01/2017,Bench,10.0,POINT (-73.9379 40.847858),1.0,Manhattan,Manhattan,112.0,72.0,31.0,13.0,3642.0,222.0,Senior Safety,backed,4180 Broadway,Broadway,W. 178th Street & W. 177th Street,Manhattan,Manhattan,112.0,Not Applicable,Not Applicable
228725,1408,10.39,df_benches,40.665285,-73.75836,-2999.4047305326,144-47 Springfield Boulevard,02/13/2018,Bench,31.0,POINT (-73.75836 40.665285),4.0,Queens,Queens,413.0,31.0,10.0,5.0,3751.0,442.0,General,backless,144-47 Springfield Boulevard,Springfield Boulevard,145th Avenue & S Conduit Avenue,Queens,Queens,413.0,Q77,Not Applicable
228726,1638,0.9300000000000002,df_benches,40.691436,-73.82075,-3003.8723240970003,125-06 101st Avenue,05/19/2016,Bench,28.0,POINT (-73.82075 40.691436),4.0,Queens,Queens,409.0,24.0,10.0,5.0,3204.0,1707.0,AAR,backless,125-06 101st Avenue,101st Avenue,126th Street & 125th Street,Queens,Queens,409.0,Not Applicable,Not Applicable
228727,2003,11.06,df_benches,40.735604,-73.716338,-3002.879553098152,251-10 Hillside Avenue,07/11/2014,Bench,23.0,POINT (-73.716338 40.735604),4.0,Queens,Queens,413.0,33.0,11.0,3.0,2606.0,704.0,Municipal Facilities,backless,251-10 Hillside Avenue,Hillside Avenue,251st Street and 252nd Street,Queens,Queens,413.0,Q43,Not Applicable
228728,2213,11.94,df_benches,40.767765,-73.964133,-3015.352392572745,921 Lexington Avenue,02/05/2015,Bench,4.0,POINT (-73.964133 40.767765),1.0,Manhattan,Manhattan,108.0,73.0,28.0,12.0,3038.0,1407.0,General,backless,139 E 68th Street,E 68th Street,East 67th Street and East 68th Street,Manhattan,Manhattan,108.0,M66,Not Applicable
228729,2330,3.1500000000000004,df_benches,40.785369,-73.973004,-3017.0162641784764,504 Columbus Avenue,03/07/2013,Bench,6.0,POINT (-73.973004 40.785369),1.0,Manhattan,Manhattan,107.0,69.0,29.0,10.0,1309.0,438.0,General,backed,504 Columbus Avenue,Columbus Avenue,West 84th and 85th Streets,Manhattan,Manhattan,107.0,Not Applicable,Not Applicable
228730,2751,12.64,df_benches,40.829569,-73.897522,-3017.203973428018,1339 Prospect Avenue,08/06/2015,Bench,17.0,POINT (-73.897522 40.829569),2.0,Bronx,Bronx,203.0,79.0,32.0,15.0,3129.0,1985.0,General,backed,821 East 169th Street,East 169th Street,East 169th Street & Freeeman Street,Bronx,Bronx,203.0,Not Applicable,Not Applicable
228731,2213,11.94,df_benches,40.766403,-73.957037,-3014.96237502791,1299 1st Avenue,02/02/2018,Bench,5.0,POINT (-73.957037 40.766403),1.0,Manhattan,Manhattan,108.0,76.0,28.0,12.0,3899.0,338.0,Senior Safety,backed 2,1299 1st Avenue,1st Avenue,E. 70th Street & E. 69th Street,Manhattan,Manhattan,108.0,Not Applicable,Not Applicable
228732,2034,6.640000000000001,df_benches,40.746939,-73.98355,-3014.6031988534496,165 Madison Avenue,04/09/2013,Bench,2.0,POINT (-73.98355 40.746939),1.0,Manhattan,Manhattan,105.0,75.0,28.0,12.0,429.0,583.0,General,backless 2,165 Madison Ave,Madison Avenue,E32nd & E33rd Street,Manhattan,Manhattan,105.0,X63,Not Applicable
228733,1463,6.859999999999999,df_benches,40.674614,-73.804421,-3001.966335668494,134-02 Rockaway Boulevard,05/18/2016,Bench,28.0,POINT (-73.804421 40.674614),4.0,Queens,Queens,410.0,31.0,10.0,5.0,3244.0,2371.0,Municipal Facilities,backed,134-02 Rockaway Boulevard,Rockaway Boulevard,134th Street & 135th Street,Queens,Queens,410.0,Not Applicable,Not Applicable
228734,2405,8.21,df_benches,40.788081,-73.813516,-3010.711669502796,14-31 150th Street,09/23/2013,Bench,19.0,POINT (-73.813516 40.788081),4.0,Queens,Queens,407.0,26.0,11.0,3.0,2167.0,815.0,General,backed,14-31 150th Street,150th Street,Cross Island Parkway and 14th Avenue,Queens,Queens,407.0,Not Applicable,Not Applicable
228735,1796,-3.2,df_benches,40.7165279614,-73.9958912325,-3012.855774396799,70 Bowery,12/28/2017,Bench,1.0,POINT (-73.9958912325 40.7165279614),1.0,Manhattan,Manhattan,102.0,65.0,26.0,7.0,3804.0,495.0,Senior Safety,backed,70 Bowery,Bowery,Canal Street & Slip Lane,Manhattan,Manhattan,103.0,Not Applicable,Not Applicable
228736,3045,4.640000000000001,df_benches,40.867788,-73.903009,-3020.2525043740916,2552 Webb Avenue,05/01/2014,Bench,14.0,POINT (-73.903009 40.867788),2.0,Bronx,Bronx,207.0,81.0,33.0,13.0,2436.0,838.0,Health Care Facilities,backed,2552 Webb Avenue,Webb Avenue,W. Kingsbridge Road and W. 190th Street,Bronx,Bronx,207.0,Not Applicable,Not Applicable
228737,2105,5.900000000000001,df_benches,40.7495340664,-73.8625749635,-3009.8655147071668,103-12 Roosevelt Avenue,06/01/2018,Bench,21.0,POINT (-73.8625749635 40.7495340664),4.0,Queens,Queens,404.0,39.0,13.0,14.0,1342.0,0.0,Plaza,backed 2,103-12 Roosevelt Avenue,Roosevelt Avenue,104th and National Streets,Queens,Queens,404.0,Q20A,Not Applicable
228738,967,3.81,df_benches,40.615612,-74.034258,-3006.946697635896,9711 3rd Avenue,09/13/2013,Bench,43.0,POINT (-74.034258 40.615612),3.0,Brooklyn,Brooklyn,310.0,46.0,22.0,11.0,2166.0,761.0,Community Health Centers,backed,9711 3rd Avenue,3rd Avenue,Marine Avenue and 97th Street,Brooklyn,Brooklyn,310.0,Not Applicable,Not Applicable
228739,2044,3.25,df_benches,40.74587,-73.884698,-3010.49629969726,80-98 41st Avenue,06/28/2017,Bench,25.0,POINT (-73.884698 40.74587),4.0,Queens,Queens,404.0,39.0,16.0,6.0,3812.0,143.0,Senior Safety,backed 2,80-98 41st Avenue,41st Avenue,80th Street & 81st Street,Queens,Queens,404.0,Not Applicable,Not Applicable
228740,1393,4.200000000000001,df_benches,40.668708,-73.908414,-3005.759707709112,50 Belmont Avenue,09/09/2014,Bench,41.0,POINT (-73.908414 40.668708),3.0,Brooklyn,Brooklyn,316.0,55.0,20.0,9.0,2644.0,1322.0,General,backed,50 Belmont Avenue,Belmont Avenue,Osborn Street and Watkins Street,Brooklyn,Brooklyn,316.0,Not Applicable,Not Applicable
